name,latitude,longitude
Kab. Pegunungan Bintang,-4.558987200000001,140.51355890000002
Kab. Tolikara,-3.481132,138.4787258
Kab. Sarmi,-1.868727,138.743607
Kab. Keerom,-3.3449536,140.76244930000001
Kab. Waropen,-2.8435717,136.670534
Kab. Supiori,-0.7295099,135.6385125
Kab. Mamberamo Raya,-2.5331255,137.7637565
Kota Jayapura,-2.533,140.717
Kab. Labuhanbatu Utara,2.3465637999999998,99.8124935
Kab. Labuhanbatu Selatan,1.8799352999999999,100.17032569999999
Kab. Nias Utara,1.1255278999999998,97.5247243
Kab. Nias Barat,1.1255278999999998,97.5247243
Kota Gunungsitoli,1.2819639999999999,97.61594000000001
Kab. Kepulauan Meranti,0.9208765,102.6675575
Kab. Bengkulu Tengah,-3.7955556000000006,102.25916670000001
Kab. Tulangbawang Barat,-4.5256967,105.0791228
Kab. Pringsewu,-5.3539884,104.9622498
Kab. Mesuji,-4.0044783,105.3131185
Kab. n Anambas,3.1055459,105.6537231
Kab. Sleman,-7.716164999999999,110.335403
Kab. Lombok Utara,-8.3739076,116.27770729999999
Kab. Sabu Raijua,-10.554111599999999,121.8334868
Kab. Bolang Mongondow Timur,0.7152651,124.4641848
Kab. Bolang Mongondow Selatan,0.4053215,123.84112879999999
Kab. Sigi,-1.3834127,120.0665236
Kab. Toraja Utara,-2.8621942000000002,119.8352303
Kab. Maluku Barat Daya,-7.7851588000000005,126.34980970000001
Kab. Buru,-3.3927754,126.7819505
Kab. Pulau Morotai,2.3656672000000003,128.40083570000002
Kab. Tambrauw,-0.781856,132.3938375
Kab. Maybrat,3.1472,101.6997
Kab. Mamberamo Tengah,-2.3745692000000003,138.31902759999997
Kab. Yalimo,-3.7852847,139.4466005
Kab. Lanny Jaya,-3.9710330000000003,138.31902759999997
Kab. Nduga,-4.4069496,138.2393528
Kab. Puncak,-6.7125476,106.9542425
Kab. Dogiyai,-4.019387200000001,135.9610446
Kab. Intan Jaya,-3.5076422,136.7478493
Kab. Deiyai,-4.0974892999999994,136.4393054
Kab. Siak,0.7813060000000001,101.833239
